,object_code,predicted_datetime,predict_value,version,input_version,flags,record_time,inc_day,model_version,object_type
204,027Y,2022-02-24,811337.6075954061,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-24,T28-prophet,pickup
205,027Y,2022-02-25,797223.5884198929,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-25,T28-prophet,pickup
206,027Y,2022-02-26,712538.20857628,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
207,027Y,2022-02-27,657317.5741477896,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
208,027Y,2022-02-28,711806.6894964988,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
209,027Y,2022-03-01,724397.0210394335,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
210,027Y,2022-03-02,770400.1141747839,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
211,027Y,2022-03-03,794712.7895365903,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
212,027Y,2022-03-04,780598.7703611628,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
213,027Y,2022-03-05,695913.3905174915,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
214,027Y,2022-03-06,640692.7560890397,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
215,027Y,2022-03-07,695181.8714377743,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
216,027Y,2022-03-08,707772.2029807108,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
217,027Y,2022-03-09,753775.296115898,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
